"All Allowed Countries","Visos galimos šalys"
"Allowed Methods","Siuntimo būdai"
"Amount", "Kiekis"
"Back to list", "Atgal į sąrašą"
"Bank account number","Banko sąskaitos numeris"
"Call Itella","Iškviesti Itella"
"Company city","Įmonės miestas"
"Company country code","Įmonės šalies kodas (LT)"
"Company name","Įmonės pavadinimas"
"Company phone","Įmonės telefono numeris"
"Company postcode","Įmonės pašto kodas"
"Company street address","Įmonės gatvės adresas"
"Contacts","Kontaktai"
"Courier full name, signature", "Kurjerio vardas, pavardė, parašas"
"Courier shipping price","Kurjerio siuntimo kaina"
"Courier","Kurjeris"
"Date", "Data"
"Displayed Error Message","Klaidos pranešimo tekstas"
"EE Courier shipping price","EE Kurjerio siuntimo kaina"
"EE Parcel terminal shipping price","EE Siuntų terminalo siuntimo kaina"
"Enabled for Checkout","Įjungti"
"Enter postcode", "Įveskite paštokodą"
"Enter postcode/address", "Įveskite pašto kodą/adresą"
"Failed to call Itella courier","Itella kurjerio iškviesti nepavyko"
"Gateway URL","Serviso URL adresas"
"Generate manifest","Generuoti manifestą"
"Itella courier called","Itella kurjeris iškviestas"
"Itella courier","Itella pristatymas į nurodytą adresą"
"Itella manifest","Itella manifestas"
"Itella orders","Itella užsakymai"
"Itella parcel terminals", "Itella paštomatai"
"Itella pickup point","Itella pristatymas į atsiėmimo tašką"
"LV Courier shipping price","LV Kurjerio siuntimo kaina"
"LV Parcel terminal shipping price","LV Siuntų terminalo siuntimo kaina"
"Manifest generation date","Manifesto generavimo data"
"Maximum Package Weight","Didžiausias leistinas svoris"
"New orders","Nauji užsakymai"
"No","Ne"
"Nothing found","Nieko nerasta"
"Order #","Užsakymo #"
"Parcel Nr", "Siuntos numeris"
"Parcel terminal shipping price","Siuntų terminalo siuntimo kaina"
"Parcel terminal","Siuntų terminalas"
"Parcel terminals addresses", "Paštomatų adresai"
"Password","Slaptažodis"
"Pick up from store type","Paėmimo iš parduotuvės būdas"
"Pick up time finish","Paėmimo pabaigos laikas"
"Pick up time start","Paėmimo pradžios laikas"
"Pickup point","Atsiėmimo taškas"
"Pickup points","Atsiėmimo taškai"
"Place not found", "Vieta nerasta"
"Please select parcel terminal.","Pasirinkite siuntų terminalą"
"Print labels","Spausdinti lipdukus"
"Receiver", "Gavėjo adresas"
"Select a pickup point","Pasirinkite atsiėmimo tašką"
"Select orders","Pasirinkite užsakymus"
"Select parcel terminal","Pasirinkite siuntų terminalą"
"Select pickup point","Pasirinkti atsiėmimo tašką"
"Select","Pasirinkti"
"Sender Address","Siuntėjo adresas"
"Sender full name, signature", "Siuntėjo vardas, pavardė, parašas"
"Ship to Applicable Countries","Siuntimas į tinkamas šalis"
"Ship to Specific Countries","Siuntimas į pasirinktas šalis"
"Show in map", "Rodyti žemėlapyje"
"Show more", "Rodyti daugiau"
"Sort Order","Eiliškumas"
"Specific Countries","Pasirinktos šalys"
"Title","Pavadinimas"
"User ID","Vartotojo ID"
"Weight", "Svoris"
"Workhours","Darbo valandos"
"Yes","Taip"
