"Amount", "Kоличество"
"Back to list", "Oбратно к списку"
"Company name","Название компании"
"Contacts","Контакты"
"Courier","Курьер"
"Date", "Дата"
"Enter postcode", "Ввести почтовый индекс"
"Enter postcode/address", "Ввести почтовый индекс/адрес"
"Itella courier","Smartpost Itella курьер"
"Itella parcel terminals", "Smartpost Itella посылочныe терминалы"
"Itella pickup point","Smartpost Itella пункт посылок"
"No","Нет"
"Nothing found","Ничего не найдено"
"Order #","Заказ #"
"Parcel Nr", "Посылка Нр."
"Parcel terminal","Посылочный терминал"
"Parcel terminals addresses", "Адреса посылочных терминалов"
"Pickup point","Пункт получения"
"Pickup points","Пункты получения"
"Place not found", "Местонахождение не найдено"
"Please select parcel terminal.","Пожалуйста, выберите посылочный терминал"
"Receiver", "Получатель"
"Select a pickup point","Выбрать пункт получения"
"Select parcel terminal","Выбрать посылочный терминал"
"Select pickup point","Выбрать пункт получения"
"Select","Выбрать"
"Show in map", "Показать на карте"
"Show more", "Показать больше"
"Sort Order","Порядок сортировки "
"Title","Название"
"Weight", "Вес"
"Workhours","Рабочее время"
"Yes","Да"
